book_id,title,predicted_score,actual_rating
8179,In Search of Excellence: Lessons from America's Best-Run Companies,0.54752564,
7488,"Maid for Love (Gansett Island Series, #1)",0.54673886,
2877,"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",0.5465759,
7771,Birds of America,0.54624414,
6232,The Devotion of Suspect X,0.5458218,
6078,"Curtain (Hercule Poirot, #39)",0.54532874,
2928,Why Men Love Bitches: From Doormat to Dreamgirl—A Woman's Guide to Holding Her Own in a Relationship,0.5453023,
4626,"NYPD Red (NYPD Red, #1)",0.54523647,
4685,Canada,0.5451775,
108,"Confessions of a Shopaholic (Shopaholic, #1)",0.5451694,
9318,The Guardian (O'Malley #2),0.5451567,
9931,"Blue Monday (Frieda Klein, #1)",0.5451481,
3466,What She Knew,0.54503775,
5654,"Criminal (Will Trent, #6)",0.54502934,
2305,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,0.54502106,
5548,"Kisscut (Grant County, #2)",0.54500955,
2546,Lipstick Jungle,0.54491633,
4950,Out of the Easy,0.5448929,
36,"The Giver (The Giver, #1)",0.54489124,
4820,"Beauty's Release (Sleeping Beauty, #3)",0.5447228,
4948,"The Whole Truth (A. Shaw, #1)",0.5446666,
3338,Consider the Lobster and Other Essays,0.54458725,
6341,"Asterix the Gaul (Asterix, #1)",0.5445435,
8576,Killing Reagan: The Violent Assault That Changed a Presidency,0.54439604,
1514,In the Heart of the Sea: The Tragedy of the Whaleship Essex,0.54439276,
2250,The Life and Times of the Thunderbolt Kid,0.5443082,
8363,"The Assassin and the Empire (Throne of Glass, #0.5)",0.5443073,
6364,When We Were Orphans,0.54428995,
6034,Hold Still,0.544262,
3007,Peony in Love,0.5442402,
7439,"Revelation (Matthew Shardlake, #4)",0.544168,
1732,The Man in the Brown Suit,0.5441346,
2679,Three Junes,0.5441108,
2754,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",0.54407734,
9002,The Cake Mix Doctor,0.54400116,
3724,The Postmistress,0.5439905,
5862,"Natural Born Charmer (Chicago Stars, #7)",0.54390514,
40,"Eat, Pray, Love",0.54390186,
5273,The Bloody Chamber and Other Stories,0.54388595,
583,"Silence (Hush, Hush, #3)",0.5438446,
3146,Adultery,0.5438227,
7540,Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991,0.5436917,
3306,Just So Stories,0.5436722,
2895,Think Like a Freak,0.5435821,
3040,"Because of Low (Sea Breeze, #2)",0.5435803,
2593,"Stargazer (Evernight, #2)",0.54356766,
7967,What Every Body is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,0.54352427,
3155,Missing You,0.5435215,
800,The Story of My Life,0.54351807,
5360,"The Rose Society (The Young Elites, #2)",0.54340243,
3858,"Interesting Times (Discworld, #17; Rincewind #5)",0.5433713,
1189,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,0.54336375,
6688,Baudolino,0.54332846,
4000,"The Kings of Clonmel (Ranger's Apprentice, #8)",0.5432391,
3974,"Dragonsinger (Harper Hall, #2)",0.5431722,
7943,Hope Was Here,0.54316354,
4743,"Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality",0.5431224,
2751,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",0.5430915,
252,"Cinder (The Lunar Chronicles, #1)",0.5430689,
577,Tuck Everlasting,0.54302955,
440,"Fall of Giants (The Century Trilogy, #1)",0.54300606,
972,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",0.5430005,
6591,Cloudstreet,0.5429039,
7052,The Saving Graces,0.54282206,
9190,"City of Bones / City of Ashes / City of Glass / City of Fallen Angels / City of Lost Souls (The Mortal Instruments, #1-5)",0.5426778,
3788,Thunderstruck,0.5426511,
5324,"The Immortal Highlander (Highlander, #6)",0.5426492,
9897,"Divine Madness (Cherub, #5)",0.5426182,
1057,The Testament,0.5425111,
1964,"Fool's Errand (Tawny Man, #1)",0.5424436,
6253,"Scion of Ikshvaku (RamChandra, #1)",0.5424336,
7939,"Clean Sweep (Innkeeper Chronicles, #1)",0.5423841,
5203,"Domes of Fire (The Tamuli, #1)",0.54234034,
4994,This Boy's Life,0.5422774,
1761,Moonwalking with Einstein: The Art and Science of Remembering Everything,0.5422453,
4522,"Saga, Vol. 5 (Saga, #5)",0.54223883,
6631,The Pioneer Woman: Black Heels to Tractor Wheels,0.5421797,
4641,Fantastic Beasts and Where to Find Them: The Original Screenplay,0.5421489,
8128,"Children of God (The Sparrow, #2)",0.5420528,
2021,"The Twilight Collection (Twilight, #1-3)",0.54199576,
5590,If You Give a Pig a Party,0.5419952,
7826,The Moon Is Down,0.54192066,
9656,"Vampire, Interrupted (Argeneau #9)",0.54191834,
322,Neverwhere,0.5419037,
8159,X-Men: The Dark Phoenix Saga,0.5418001,
1316,The Story of Edgar Sawtelle,0.54163885,
7232,Crash,0.54161274,
9239,Curious George Visits the Library,0.54115254,
9921,A Coney Island of the Mind,0.5411453,
8285,Batman and Son,0.54104966,
8329,Paris to the Moon,0.540964,
953,"The Dark Tower (The Dark Tower, #7)",0.540581,
3571,Wicked Deeds on a Winter's Night (Immortals After Dark #4),0.5405541,
8244,"Embrace the Night (Cassandra Palmer, #3)",0.54054725,
8848,Kaleidoscope,0.5405418,
8188,Henderson the Rain King,0.540537,
9055,The Lord of the Rings Sketchbook,0.5403801,
3033,The Right Stuff,0.54036856,
9486,"Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed (Fifty Shades, #2-3)",0.5401979,
9754,Invitation to a Beheading,0.5388191,
