Her Fearful Symmetry                                          (p=0.1569)  [Fiction, Fantasy, Ghost, Contemporary, Adult]
The Ghost Brigades (Old Man's War, #2)                        (p=0.1558)  [Science Fiction, Fiction, Space, Sf, Military]
Absolution Gap                                                (p=0.1550)  [Science Fiction, Space, Fiction, Sf, Hard]
The Gatecrasher                                               (p=0.1547)  [Chick Lit, Fiction, Contemporary, Chic, Adult]
The Redeemer (Harry Hole, #6)                                 (p=0.1542)  [Crime, Thriller, Fiction, Mystery, Scandinavian]
Digital Fortress                                              (p=0.1539)  [Fiction, Thriller, Mystery, Science Fiction, Novel]
The Strange Library                                           (p=0.1538)  [Fiction, Fantasy, Short Stories, Japanese, Graphic Novels]
Half Way Home                                                 (p=0.1532)  [Science Fiction, Dystopian, Fiction, Young, Young Adult]
Flaskepost fra P (Afdeling Q, #3)                             (p=0.1529)  [Crime, Thriller, Fiction, Mystery, Scandinavian]
Green Mars (Mars Trilogy, #2)                                 (p=0.1529)  [Science Fiction, Fiction, Sf, Mars, Hard]
Be Careful What You Wish For                                  (p=0.1527)  [Chick Lit, Fantasy, Contemporary, Chic, Fiction]
Naked Empire (Sword of Truth, #8)                             (p=0.1526)  [Fantasy, Epic, Fiction, Science Fiction, High]
Of Course I Love You...! Till I Find Someone Better...        (p=0.1526)  [Romance, Fiction, Indian, Romantic, Contemporary]
The Third Twin                                                (p=0.1526)  [Thriller, Fiction, Mystery, Science Fiction, Crime]
The Brightest Star in the Sky                                 (p=0.1525)  [Chick Lit, Fiction, Contemporary, Chic, Adult]
The Curious Case of Benjamin Button                           (p=0.1522)  [Fiction, Fantasy, Classics, Short Stories, American]
Armada                                                        (p=0.1520)  [Science Fiction, Fiction, Young, Fantasy, Young Adult]
Halo: First Strike                                            (p=0.1520)  [Science Fiction, Halo, Fiction, Game, Military]
Mr. Darcy's Diary (Jane Austen Heroes, #1)                    (p=0.1519)  [Historical, Fiction, Classics, Regency, Chick Lit]
Victory of Eagles (Temeraire, #5)                             (p=0.1516)  [Fantasy, Historical, Dragon, Fiction, Alternate]
Five Point Someone                                            (p=0.1515)  [Fiction, Indian, Novel, Contemporary, Humor]
Against a Dark Background                                     (p=0.1515)  [Science Fiction, Fiction, Sf, Space, Fantasy]
Use of Weapons (Culture, #3)                                  (p=0.1514)  [Science Fiction, Fiction, Sf, Space, Culture]
The Good House                                                (p=0.1514)  [Fiction, Contemporary, Adult, Chick Lit, Alcoholics]
The Informers                                                 (p=0.1514)  [Fiction, Short Stories, Contemporary, Novel, Literary Fiction]
Sepulchre (Languedoc, #2)                                     (p=0.1513)  [Historical, Fiction, Mystery, Fantasy, Thriller]
Just Like Heaven (Smythe-Smith Quartet #1)                    (p=0.1513)  [Historical, Regency, Fiction, Romance, Adult]
The Other Typist                                              (p=0.1513)  [Historical, Fiction, Mystery, Thriller, Adult]
The Gift                                                      (p=0.1512)  [Chick Lit, Fiction, Christmas, Contemporary, Fantasy]
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared  (p=0.1511)  [Fiction, Humor, Contemporary, Historical, Humour]
White Girl Problems                                           (p=0.1511)  [Chick Lit, Humor, Fiction, Memoir, Funny]
Lucky You                                                     (p=0.1509)  [Fiction, Humor, Mystery, Crime, Humour]
The Other Wind (Earthsea Cycle, #6)                           (p=0.1509)  [Fantasy, Fiction, Science Fiction, Young, Dragon]
Grey (Fifty Shades, #4)                                       (p=0.1509)  [Erotica, Bdsm, Adult, Fiction, Contemporary]
Instructions for a Heatwave                                   (p=0.1509)  [Fiction, Historical, Family, Contemporary, Literary]
The Sisterhood                                                (p=0.1508)  [Historical, Fiction, Mystery, Adult, Contemporary]
Wreckage                                                      (p=0.1507)  [Fiction, Mystery, Contemporary, Thriller, Adult]
A Vintage Affair                                              (p=0.1507)  [Chick Lit, Fiction, Historical, Contemporary, Adult]
Miramont's Ghost                                              (p=0.1507)  [Historical, Fiction, Mystery, Paranormal, Ghost]
Negeri 5 Menara (Negeri 5 Menara, #1)                         (p=0.1506)  [Novel, Indonesian, Fiction, Fiksi, Islam]
Cosmopolis                                                    (p=0.1506)  [Fiction, Novel, Contemporary, American, Literary Fiction]
A Princess of Mars (Barsoom, #1)                              (p=0.1505)  [Science Fiction, Fantasy, Classics, Fiction, Adventure]
Starless Night (Forgotten Realms: Legacy of the Drow, #2; Legend of Drizzt, #8)  (p=0.1505)  [Fantasy, Fiction, Epic, High, Dungeons]
Labor Day                                                     (p=0.1505)  [Fiction, Contemporary, Adult, Coming, Family]
Mercy                                                         (p=0.1504)  [Fiction, Contemporary, Chick Lit, Adult, Drama]
The Jester                                                    (p=0.1504)  [Mystery, Historical, Fiction, Thriller, Crime]
Big Fish                                                      (p=0.1503)  [Fantasy, Fiction, Contemporary, Adult, Humor]
A House for Mr Biswas                                         (p=0.1503)  [Fiction, Caribbean, Novel, Literary, Classics]
Azincourt                                                     (p=0.1503)  [Historical, Fiction, Medieval, War, Military]
The Two Swords (Forgotten Realms: Hunter's Blades, #3; Legend of Drizzt, #16)  (p=0.1502)  [Fantasy, Fiction, Epic, High, Science Fiction]
The Human Division (Old Man's War, #5)                        (p=0.1502)  [Science Fiction, Fiction, Space, Sf, Military]
Medea                                                         (p=0.1502)  [Classics, Plays, Drama, Mythology, Fiction]
A Dance with Dragons: Dreams and Dust (A Song of Ice and Fire #5, Part 1 of 2)  (p=0.1502)  [Fantasy, Fiction, Epic, Adult, High]
Go Tell It on the Mountain                                    (p=0.1501)  [Fiction, African Literature, Classics, Novel, American]
Maryamah Karpov: Mimpi-mimpi Lintang (Tetralogi Laskar Pelangi, #4)  (p=0.1501)  [Novel, Indonesian, Fiction, Fiksi, Young]
Silverthorn (The Riftwar Saga, #3)                            (p=0.1501)  [Fantasy, Fiction, Epic, High, Science Fiction]
Picture Perfect                                               (p=0.1501)  [Fiction, Chick Lit, Contemporary, Adult, Drama]
Motherless Brooklyn                                           (p=0.1500)  [Fiction, Mystery, Crime, Contemporary, Novel]
Thinner                                                       (p=0.1500)  [Horror, Fiction, Thriller, Fantasy, Supernatural]
The Scions of Shannara (Heritage of Shannara, #1)             (p=0.1499)  [Fantasy, Fiction, High, Adventure, Epic]
Rogue Squadron (Star Wars: X-Wing, #1)                        (p=0.1499)  [Star, Science Fiction, Fiction, Fantasy, Space]
King of the Murgos (The Malloreon, #2)                        (p=0.1498)  [Fantasy, Fiction, Epic, High, Science Fiction]
The Pillars of Creation (Sword of Truth, #7)                  (p=0.1498)  [Fantasy, Epic, Science Fiction, High, Adult]
The Cruelest Month (Chief Inspector Armand Gamache, #3)       (p=0.1498)  [Mystery, Fiction, Crime, Adult, Cozy]
Hawaii                                                        (p=0.1498)  [Historical, Fiction, Classics, Novel, Epic]
Wired (Wired, #1)                                             (p=0.1497)  [Science Fiction, Thriller, Fiction, Mystery, Action]
I Let You Go                                                  (p=0.1496)  [Thriller, Mystery, Fiction, Crime, Adult]
I Am the Cheese                                               (p=0.1496)  [Young, Young Adult, Fiction, Mystery, Classics]
The Whistler                                                  (p=0.1496)  [Fiction, Mystery, Thriller, Legal, Crime]
Zoo                                                           (p=0.1495)  [Thriller, Fiction, Science Fiction, Mystery, Horror]
The Crossing Places (Ruth Galloway, #1)                       (p=0.1495)  [Mystery, Crime, Fiction, Thriller, Archaeology]
Sang Pemimpi (Tetralogi Laskar Pelangi, #2)                   (p=0.1495)  [Novel, Indonesian, Fiction, Fiksi, Sastra]
Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)     (p=0.1494)  [Mystery, Fiction, Crime, Cozy, Adult]
Autumn in Paris                                               (p=0.1494)  [Metropop, Indonesian, Novel, Fiction, Fiksi]
A Darkness At Sethanon (The Riftwar Saga, #4)                 (p=0.1494)  [Fantasy, Fiction, Epic, High, Science Fiction]
Stupid White Men                                              (p=0.1493)  [Non, Politics, Non-Fict, Humor, Humour]
Windmills of the Gods                                         (p=0.1493)  [Fiction, Thriller, Mystery, Novel, Crime]
The Finkler Question                                          (p=0.1493)  [Fiction, Contemporary, Abandoned, Jewish, Literary]
