goodreads_book_id,tag_id,count
1,52,9954
1,53,1742
1,267,5440
1,441,6850
1,467,958
1,512,281
1,526,392
1,544,289
1,689,465
1,945,40813
1,1419,351
1,1437,1045
1,1622,718
1,1773,1154
1,1846,673
1,2413,547
1,2430,484
1,2451,552
1,2488,600
1,2683,386
1,2715,12716
1,2717,338
2,41,225
2,52,1171
2,267,1922
2,321,232
2,350,213
2,441,3892
2,467,242
2,512,296
2,526,575
2,689,447
2,945,4333
2,1419,342
2,1420,207
2,1437,1072
2,1773,1192
2,1846,688
2,2413,562
2,2430,473
2,2451,566
2,2488,613
2,2683,388
2,2715,865
2,2717,362
3,52,13239
3,53,2430
3,267,6571
3,441,11022
3,467,2348
3,526,494
3,544,397
3,689,657
3,945,51780
3,1054,394
3,1419,533
3,1437,1743
3,1622,1558
3,1773,1658
3,1846,923
3,2413,664
3,2430,608
3,2451,725
3,2488,667
3,2683,505
3,2715,14984
3,2717,472
5,52,10656
5,53,1982
5,267,5385
5,441,8441
5,467,1090
5,526,415
5,544,324
5,689,526
5,945,42948
5,1054,282
5,1419,431
5,1437,1233
5,1622,1099
5,1773,1292
5,1846,720
5,2413,584
5,2430,520
5,2451,589
5,2488,566
5,2527,484
5,2658,298
5,2683,423
5,2715,12856
5,2717,384
6,52,10249
6,53,1892
6,267,5482
6,441,7552
6,467,1289
6,512,293
6,526,393
6,544,301
6,689,493
6,746,602
6,945,38378
6,1054,274
6,1419,374
6,1437,1163
6,1622,868
6,1773,1269
6,1846,702
6,2413,568
6,2430,491
6,2451,565
6,2488,581
6,2683,400
6,2715,12979
6,2717,383
8,41,2
8,52,25
8,53,7
8,267,19
8,353,3
8,441,25
8,467,7
8,526,4
8,544,4
8,689,4
8,746,3
8,840,2
8,945,129
8,1067,2
8,1225,2
8,1279,3
8,1308,1
8,1622,3
8,1773,5
8,1846,5
8,2025,2
8,2413,5
8,2430,8
8,2451,5
8,2488,4
8,2683,6
8,2700,1
8,2715,34
8,2717,3
10,41,3
10,52,84
10,53,18
10,267,37
10,353,6
10,441,65
10,467,9
10,544,3
10,689,3
10,746,4
10,840,3
10,945,292
10,1054,4
10,1419,4
10,1437,6
10,1773,8
10,1846,5
10,2413,4
10,2451,8
10,2488,9
10,2683,8
10,2715,86
10,2717,4
11,14,174
11,50,741
11,52,7012
11,53,656
11,81,275
11,267,129
11,350,114
11,467,3427
11,505,1439
11,526,23231
11,544,127
11,945,3551
11,1067,833
11,1279,4582
11,1281,1439
11,1502,224
11,1657,115
11,1773,741
11,2166,240
11,2231,754
11,2337,289
11,2348,202
11,2715,307
13,14,58
13,50,119
13,52,2006
13,53,141
13,81,53
13,126,28
13,467,647
13,505,370
13,526,5815
13,544,36
13,945,933
13,1067,178
13,1279,1275
13,1281,293
13,1502,77
13,1773,189
13,1880,23
13,2166,62
13,2231,192
13,2232,39
13,2337,101
13,2348,66
13,2527,35
13,2715,51
21,10,38
21,14,125
21,50,61
21,52,53
21,129,48
21,190,71
21,430,35
21,457,36
21,526,1150
21,565,36
21,790,106
21,871,54
21,883,68
21,1067,59
21,1090,46
21,1098,47
21,1239,3367
21,1279,340
21,1281,121
21,1479,31
21,1720,59
21,1721,72
21,1761,1153
21,1763,41
21,1764,1845
21,1880,137
21,1884,186
21,1934,37
21,1935,192
21,2337,30
21,2528,73
21,2700,45
24,14,25
24,50,61
24,52,30
24,53,108
24,121,18
24,214,113
24,285,11
24,505,43
24,544,15
24,626,21
24,871,18
24,1067,78
24,1090,15
24,1239,114
24,1279,593
24,1281,174
24,1592,385
24,1721,31
24,1761,1981
24,1763,12
24,1764,702
24,1794,15
24,2528,2618
25,14,24
25,50,53
25,52,29
25,53,14
25,97,11
25,214,267
25,505,58
25,526,20
25,544,17
25,626,31
25,871,166
25,1067,81
25,1239,45
25,1279,625
25,1281,67
25,1501,18
25,1592,495
25,1761,144
25,1764,540
25,2263,32
25,2528,229
25,2538,18
25,2705,22
26,14,20
26,50,24
26,52,22
26,53,24
26,97,26
26,214,102
26,285,9
26,505,38
26,544,16
26,626,16
26,871,40
26,920,10
26,1067,48
26,1090,10
26,1239,21
26,1279,372
26,1281,126
26,1401,8
26,1592,267
26,1714,9
26,1761,1112
26,1764,390
26,2114,23
26,2528,1742
26,2705,8
27,14,15
27,50,22
27,52,16
27,53,24
27,214,112
27,285,9
27,505,40
27,544,12
27,626,10
27,871,45
27,1067,50
27,1239,32
27,1279,339
27,1281,163
27,1592,253
27,1761,1128
27,1764,362
27,2528,2099
28,14,43
28,50,34
28,52,48
28,53,27
28,214,210
28,285,19
28,505,66
28,544,32
28,626,31
28,871,63
28,1067,90
28,1090,18
28,1239,51
28,1279,535
28,1281,305
28,1592,432
28,1761,2019
28,1763,15
28,1764,653
28,2528,2441
28,2705,13
29,14,7
29,50,26
29,52,15
29,129,13
29,505,9
29,544,12
29,626,17
29,627,8
29,790,16
29,1067,26
29,1090,10
29,1239,186
29,1279,170
29,1281,13
29,1463,7
29,1498,46
29,1502,12
29,1761,410
29,1763,10
29,1764,167
29,1821,13
29,2316,19
29,2322,7
29,2705,18
30,41,16
30,50,32
30,52,329
30,53,92
30,223,12
30,267,15
30,350,10
30,441,21
30,467,186
30,526,88
30,746,9
30,806,7
30,840,107
30,945,153
30,1225,45
30,1701,15
30,1773,17
30,2231,9
30,2430,9
30,2488,7
30,2715,50
30,2717,7
33,14,79
33,50,208
33,52,3827
33,53,597
33,223,56
33,267,68
33,350,78
33,467,4795
33,526,514
33,829,65
33,840,610
33,945,14068
33,1225,324
33,1502,353
33,1657,56
33,1701,58
33,1773,420
33,2231,68
33,2348,62
33,2715,278
34,14,174
34,50,749
34,52,7371
34,53,1555
34,223,114
34,267,178
34,350,152
34,467,9842
34,526,671
34,806,155
34,840,1491
34,945,32737
34,1225,974
34,1502,553
34,1657,128
34,1773,879
34,2231,134
34,2348,119
34,2715,654
36,50,4
36,52,15
36,171,36
36,223,4
36,267,2
36,526,3
36,626,1
36,945,106
36,1225,2
36,1761,28
36,1764,7
50,41,141
50,52,1587
50,53,934
50,267,927
50,424,81
50,441,2147
50,467,900
50,512,131
50,544,114
50,729,37
50,801,42
50,1419,156
50,1420,102
50,1432,42
50,1437,423
50,1622,377
50,1721,57
50,1744,183
50,1773,156
50,2059,587
50,2440,642
50,2488,142
50,2578,37
50,2674,84
50,2715,2198
50,2717,123
67,8,17
67,10,13
67,14,49
67,50,54
67,52,241
67,58,181
67,96,76
67,467,13
67,544,52
67,1239,870
67,1501,90
67,1502,76
67,1773,105
67,2044,32
67,2299,98
67,2335,83
93,8,72
93,52,858
93,53,43
93,267,109
93,424,20
93,441,3359
93,467,3518
93,512,24
93,934,48
93,1054,27
93,1101,53
93,1239,329
93,1419,89
93,1420,44
93,1432,31
93,1437,352
93,1502,54
93,1622,95
93,1773,92
93,2059,32
93,2715,353
93,2717,71
98,14,8
98,48,3
98,50,15
98,226,23
98,441,14
98,790,10
98,934,27
98,1340,5
98,1352,3
98,1437,10
98,1584,3
98,1761,65
98,1764,118
98,1961,40
98,2209,14
105,50,17
105,52,452
105,53,24
105,96,7
105,457,19
105,467,91
105,526,2753
105,840,14
105,945,227
105,1007,17
105,1068,6
105,1307,11
105,1502,15
105,1773,41
105,1880,7
105,1926,14
105,2231,172
105,2232,8
105,2337,78
105,2348,25
106,14,23
106,50,38
106,52,1106
106,53,28
106,96,15
106,457,42
106,467,246
106,526,1401
106,606,18
106,840,46
106,945,652
106,1007,50
106,1068,13
106,1307,26
106,1502,40
106,1773,122
106,1880,25
106,1926,28
106,1992,19
106,2231,346
106,2232,16
106,2337,177
106,2348,69
106,2455,16
112,14,16
112,50,30
112,52,908
112,53,24
112,96,12
112,457,34
112,467,175
112,526,5583
112,606,18
112,840,41
112,945,517
112,1007,29
112,1307,24
112,1502,28
112,1773,90
112,1880,25
112,1926,26
112,1992,18
112,2231,311
112,2232,13
112,2337,140
112,2348,60
112,2455,15
117,14,10
117,50,15
117,52,516
117,53,18
117,96,8
117,457,20
117,467,92
117,526,3102
117,840,16
117,945,253
117,1007,22
117,1307,9
117,1502,16
117,1773,49
117,1880,15
117,1898,8
117,1926,10
117,2118,8
117,2231,198
117,2232,10
117,2337,90
117,2348,30
119,50,2
119,52,10
119,171,91
119,267,1
119,467,5
119,526,3
119,945,91
119,1095,2
119,1761,34
119,1764,11
119,1773,2
119,1887,1
119,2454,1
122,14,19
122,50,68
122,52,1102
122,53,17
122,58,18
122,135,32
122,223,20
122,267,27
122,280,13
122,336,21
122,467,156
122,512,86
122,544,60
122,626,13
122,749,37
122,1225,19
122,1239,570
122,1350,21
122,1501,18
122,1502,46
122,1592,12
122,1657,14
122,1761,18
122,1773,90
122,2044,13
122,2046,17
122,2059,11
122,2357,20
122,2710,13
122,2715,62
231,10,11
231,14,21
231,29,7
231,50,26
231,52,545
231,96,22
231,97,9
231,267,5
231,280,6
231,494,14
231,512,33
231,544,99
231,749,9
231,790,4
231,1501,39
231,1502,32
231,1657,15
231,1773,67
231,1935,6
231,2059,8
231,2081,5
231,2166,7
231,2223,5
231,2316,4
231,2335,5
231,2692,6
231,2715,16
249,14,15
249,50,31
249,52,271
249,96,64
249,97,14
249,214,18
249,233,17
249,467,302
249,544,21
249,749,12
249,852,38
249,857,24
249,1501,50
249,1502,42
249,1513,12
249,1592,26
249,1657,23
249,1714,16
249,1761,24
249,1773,55
249,2397,14
250,9,8
250,14,10
250,50,13
250,52,368
250,96,58
250,97,9
250,214,6
250,233,26
250,467,196
250,544,11
250,749,6
250,829,5
250,852,13
250,853,26
250,857,20
250,1501,18
250,1502,82
250,1513,5
250,1592,6
250,1657,31
250,1714,10
250,1761,10
250,1773,64
250,1774,6
250,1992,7
250,2223,7
250,2226,9
264,2,27
264,8,204
264,14,39
264,50,60
264,52,1053
264,96,221
264,350,22
264,467,3227
264,829,27
264,1239,160
264,1501,70
264,1502,226
264,1756,15
264,1773,190
264,2057,17
264,2624,58
275,50,39
275,52,656
275,214,20
275,353,25
275,467,307
275,497,11
275,512,21
275,544,34
275,749,13
275,853,68
275,878,15
275,1051,528
275,1239,107
275,1501,38
275,1502,98
275,1592,59
275,1657,17
275,1761,22
275,1771,12
275,1773,145
275,1775,54
275,2125,18
275,2226,16
275,2263,24
275,2692,59
291,145,30
291,148,24
291,353,3
291,467,41
291,749,6
291,870,25
291,945,4
291,1007,3
291,1350,3
291,1502,38
291,1761,8
291,1773,50
291,1880,32
291,1910,3
291,1913,63
291,2130,2
291,2163,6
295,8,241
295,41,181
295,52,3299
295,53,1935
295,267,187
295,350,101
295,441,2135
295,467,10840
295,829,76
295,945,412
295,1239,1034
295,1419,75
295,1437,247
295,1501,50
295,1502,512
295,1622,73
295,1724,53
295,1773,437
295,1893,481
295,2025,47
295,2188,56
295,2624,65
295,2715,769
295,2717,57
304,2,13
304,8,137
304,14,7
304,50,20
304,52,349
304,349,20
304,350,67
304,467,1017
304,829,35
304,1007,9
304,1239,75
304,1398,32
304,1407,12
304,1501,15
304,1502,63
304,1756,8
304,1773,63
304,2624,134
304,2625,9
304,2692,21
320,14,376
320,50,364
320,52,262
320,467,6717
320,544,303
320,749,106
320,934,80
320,945,450
320,1239,153
320,1466,1145
320,1501,484
320,1502,1174
320,1773,1407
320,2340,594
320,2700,104
343,14,51
343,50,239
343,52,2637
343,467,1517
343,544,232
343,598,559
343,648,90
343,689,554
343,749,110
343,878,41
343,945,470
343,1051,80
343,1101,782
343,1145,134
343,1239,2053
343,1269,888
343,1501,150
343,1502,303
343,1657,60
343,1688,102
343,1773,561
343,1774,41
343,1865,44
343,2025,649
343,2125,61
348,2,4
348,52,209
348,53,18
348,267,5
348,457,14
348,467,66
348,526,1425
348,945,46
348,1419,5
348,1773,23
348,1806,6
348,2118,7
348,2231,135
348,2232,8
348,2337,7
348,2348,18
348,2527,163
348,2528,12
348,2715,6
350,14,113
350,50,102
350,52,2117
350,81,66
350,96,28
350,467,1278
350,526,9484
350,772,66
350,945,460
350,1007,118
350,1502,87
350,1558,34
350,1773,218
350,1880,136
350,2231,504
350,2232,58
350,2348,135
353,14,16
353,52,260
353,53,10
353,267,5
353,467,67
353,526,1697
353,945,68
353,1068,5
353,1190,6
353,1311,5
353,1502,5
353,1510,4
353,1773,30
353,2231,137
353,2232,15
353,2337,18
353,2348,31
353,2527,56
355,14,3
355,52,248
355,53,18
355,90,8
355,467,15
355,505,18
355,526,941
355,945,221
355,1007,45
355,1279,45
355,1281,6
355,1507,11
355,1657,3
355,1773,26
355,1806,4
355,1880,4
355,1942,3
355,2166,16
355,2231,78
355,2232,8
355,2337,4
355,2344,3
355,2348,26
355,2413,6
355,2527,3
357,50,40
357,52,1088
357,53,22
357,350,20
357,467,26
357,505,249
357,526,1989
357,544,22
357,598,44
357,689,470
357,945,1030
357,1067,113
357,1279,251
357,1281,348
357,1502,26
357,1701,38
357,1773,101
357,2166,30
357,2231,112
357,2232,20
357,2348,44
357,2413,56
357,2430,19
359,50,16
359,52,163
359,53,10
359,126,19
359,214,30
359,350,8
359,467,7
359,505,113
359,526,1098
359,689,36
359,871,76
359,945,205
359,1007,7
359,1067,49
359,1279,82
359,1281,172
359,1502,11
359,1761,160
359,1764,49
359,1773,30
359,1880,9
359,2166,11
359,2231,52
359,2232,6
359,2263,98
359,2348,8
360,50,82
360,52,1343
360,53,105
360,81,57
360,350,31
360,467,150
360,505,381
360,526,5040
360,945,553
360,1067,151
360,1279,1201
360,1281,468
360,1502,23
360,1773,152
360,2166,48
360,2231,186
360,2232,18
360,2337,86
360,2348,42
360,2527,22
360,2715,23
365,14,23
365,50,65
365,52,452
365,53,32
365,350,24
365,467,37
365,505,96
365,526,1347
365,544,22
365,598,93
365,689,309
365,945,369
365,1067,158
365,1105,24
365,1279,356
365,1281,118
365,1502,27
365,1773,135
365,1846,21
365,2166,41
365,2231,187
365,2232,28
365,2348,63
365,2413,59
365,2527,60
365,2528,24
378,52,1777
378,53,315
378,267,496
378,424,61
378,441,4619
378,467,1659
378,505,39
378,526,132
378,945,2920
378,1067,83
378,1279,295
378,1281,41
378,1419,214
378,1420,124
378,1432,97
378,1437,790
378,1502,94
378,1622,386
378,1773,107
378,2715,1042
378,2717,138
386,14,10
386,44,8
386,50,5
386,52,56
386,77,3
386,214,86
386,285,7
386,505,3
386,544,6
386,592,5
386,754,3
386,934,8
386,1279,4
386,1502,7
386,1592,385
386,1598,16
386,1761,182
386,1764,99
386,1773,6
386,1913,18
400,14,10
400,52,407
400,96,50
400,97,16
400,182,6
400,214,5
400,467,18
400,541,8
400,544,54
400,598,11
400,867,5
400,1239,170
400,1487,4
400,1501,40
400,1502,57
400,1657,13
400,1761,5
400,1773,87
400,1926,31
400,1942,18
400,1947,37
400,2025,5
400,2607,4
415,14,109
415,52,378
415,96,119
415,223,115
415,467,79
415,526,428
415,544,89
415,945,20
415,1239,248
415,1279,20
415,1501,74
415,1502,61
415,1657,73
415,1773,213
415,1880,16
415,1942,43
415,1947,165
415,2166,16
415,2231,17
415,2707,25
415,2710,17
424,14,13
424,50,10
424,52,73
424,96,36
424,97,19
424,214,58
424,467,115
424,544,11
424,571,9
424,592,36
424,626,21
424,627,9
424,871,261
424,966,10
424,1239,105
424,1401,69
424,1501,19
424,1592,172
424,1743,14
424,1761,246
424,1764,482
424,1880,10
424,1926,38
424,2263,117
424,2322,13
424,2528,11
424,2692,49
424,2705,23
428,14,11
428,50,53
428,52,16
428,96,56
428,97,13
428,467,137
428,544,70
428,871,7
428,966,36
428,969,7
428,1239,12
428,1501,51
428,1502,52
428,1592,7
428,1657,6
428,1761,8
428,1773,94
428,2692,36
431,14,40
431,50,32
431,52,1104
431,96,142
431,97,27
431,467,86
431,544,201
431,598,89
431,689,361
431,905,14
431,945,15
431,1501,100
431,1502,169
431,1657,34
431,1714,22
431,1760,24
431,1773,223
431,1774,18
431,1942,20
431,1947,75
431,2025,32
431,2125,14
431,2263,88
432,50,14
432,52,269
432,96,41
432,467,28
432,507,4
432,544,49
432,598,39
432,689,154
432,1149,8
432,1501,30
432,1502,44
432,1657,4
432,1714,4
432,1760,4
432,1773,49
432,1774,7
432,1880,6
432,1942,9
432,1947,25
432,2025,4
432,2125,8
432,2263,6
446,10,15
446,14,7
446,50,12
446,52,412
446,96,50
446,97,6
446,467,4
446,544,94
446,749,10
446,934,11
446,1279,5
446,1487,8
446,1501,35
446,1502,51
446,1657,15
446,1714,14
446,1773,81
446,1774,11
446,1947,5
446,2059,4
446,2125,17
447,50,6
447,52,284
447,96,20
447,544,18
447,749,8
447,982,4
447,1404,3
447,1501,17
447,1502,50
447,1657,12
447,1714,4
447,1773,73
447,1774,9
447,1947,11
447,2125,17
449,9,3
449,14,4
449,50,7
449,52,272
449,53,3
449,96,25
449,97,4
449,119,5
449,121,34
449,262,3
449,467,5
449,544,64
449,749,4
449,1501,20
449,1502,35
449,1657,9
449,1714,4
449,1773,54
449,1774,6
449,1775,4
449,1880,4
449,2125,10
456,9,3
456,50,4
456,52,261
456,96,32
456,97,6
456,544,45
456,598,7
456,689,14
456,749,4
456,982,4
456,1054,3
456,1501,30
456,1502,46
456,1657,18
456,1714,4
456,1773,59
456,1774,10
456,1880,4
456,1947,7
456,1992,3
456,2025,5
456,2081,2
456,2125,11
475,14,10
475,30,20
475,128,14
475,129,134
475,154,26
475,366,26
475,457,11
475,463,32
475,471,10
475,493,15
475,526,222
475,626,22
475,783,14
475,786,49
475,790,9
475,835,90
475,836,39
475,871,19
475,1090,46
475,1239,659
475,1720,12
475,1721,47
475,1740,11
475,1761,594
475,1764,230
475,1821,10
475,1880,16
475,1926,94
475,1934,15
475,2316,74
475,2319,19
475,2322,65
475,2700,28
597,14,4
597,50,15
597,52,32
597,212,4
597,214,62
597,285,3
597,505,10
597,544,14
597,606,5
597,626,20
597,627,5
597,658,5
597,754,4
597,871,72
597,1067,9
597,1239,7
597,1279,89
597,1281,9
597,1401,15
597,1592,180
597,1657,5
597,1761,416
597,1763,5
597,1764,163
597,1934,6
597,2119,4
597,2316,5
597,2322,6
597,2528,40
599,14,36
599,50,38
599,52,45
599,214,16
599,505,58
599,526,8
599,544,38
599,606,14
599,626,111
599,627,27
599,871,502
599,1067,45
599,1225,9
599,1239,18
599,1279,347
599,1281,42
599,1401,22
599,1592,109
599,1740,12
599,1761,1229
599,1763,13
599,1764,544
599,1880,29
599,1934,23
599,2223,10
599,2263,19
599,2316,35
599,2319,11
599,2322,67
599,2357,16
621,366,86
621,786,11
621,834,2
621,999,153
621,1350,2
621,1675,3
621,1740,2
621,1761,115
621,1764,49
621,1872,24
621,2209,59
629,14,230
629,50,38
629,52,1374
629,53,45
629,96,48
629,214,180
629,358,144
629,366,33
629,467,611
629,544,47
629,777,26
629,870,470
629,871,38
629,934,27
629,1007,228
629,1350,39
629,1501,25
629,1502,181
629,1592,222
629,1657,27
629,1740,195
629,1761,1196
629,1764,441
629,1773,182
629,1872,36
629,1880,3049
629,2081,27
629,2209,197
629,2528,297
647,14,19
647,30,10
647,42,30
647,52,8
647,54,16
647,131,9
647,366,127
647,388,27
647,526,10
647,542,35
647,544,10
647,626,63
647,627,16
647,786,209
647,790,6
647,871,24
647,1090,9
647,1239,52
647,1401,20
647,1740,8
647,1761,973
647,1763,8
647,1764,238
647,1880,41
647,1926,479
647,1927,31
647,1932,8
647,2155,8
647,2316,68
647,2319,50
647,2322,122
656,2,49
656,8,288
656,14,115
656,50,140
656,52,3227
656,223,470
656,467,9194
656,749,63
656,840,76
656,1239,2146
656,1501,170
656,1502,811
656,1773,558
656,1880,135
656,1926,56
656,2149,2185
662,14,251
662,50,173
662,52,4401
662,96,105
662,366,114
662,388,111
662,467,3917
662,526,509
662,544,75
662,689,45
662,749,48
662,772,551
662,786,198
662,945,64
662,1239,37
662,1501,160
662,1502,522
662,1657,149
662,1761,43
662,1773,420
662,1788,149
662,1880,1790
662,1926,595
662,2316,49
665,14,5
665,52,41
665,366,6
665,388,9
665,467,25
665,544,17
665,786,12
665,793,19
665,844,18
665,871,24
665,873,37
665,1090,5
665,1239,21
665,1493,7
665,1501,17
665,1502,12
665,1657,20
665,1669,17
665,1740,37
665,1761,206
665,1763,5
665,1764,71
665,1788,38
665,1880,548
665,1926,79
665,1927,10
665,2149,7
665,2209,10
665,2322,7
665,2640,3
667,50,134
667,52,1934
667,96,52
667,467,834
667,526,984
667,544,23
667,721,26
667,722,23
667,772,1466
667,945,104
667,1225,73
667,1501,65
667,1502,240
667,1657,24
667,1773,183
667,1775,41
667,1788,54
667,1880,750
667,1926,211
667,1942,31
667,2149,25
667,2231,36
667,2263,32
667,2316,33
667,2348,37
667,2609,34
667,2715,57
668,2,10
668,50,22
668,52,32
668,96,8
668,214,5
668,223,6
668,388,5
668,467,354
668,516,21
668,526,16
668,544,9
668,749,9
668,772,47
668,786,6
668,1225,5
668,1239,144
668,1329,6
668,1493,6
668,1501,22
668,1502,87
668,1657,7
668,1761,12
668,1773,64
668,1788,31
668,1880,242
668,1926,81
668,1927,5
668,2132,5
668,2149,35
668,2336,6
676,10,2
676,50,7
676,52,10
676,96,14
676,126,5
676,467,3
676,544,13
676,1279,8
676,1501,2
676,1502,10
676,1761,19
676,1764,7
676,1910,18
676,1913,1359
676,2479,2
676,2619,3
698,14,14
698,48,66
698,50,66
698,52,454
698,96,6
698,179,14
698,437,8
698,544,103
698,626,21
698,749,12
698,934,49
698,1054,6
698,1239,5
698,1310,33
698,1375,4
698,1501,34
698,1502,6
698,1682,5
698,1773,48
698,1935,5
698,2059,9
698,2081,16
698,2692,12
703,10,19
703,14,26
703,50,39
703,52,442
703,88,23
703,90,203
703,92,66
703,96,64
703,97,16
703,134,13
703,223,61
703,467,22
703,526,118
703,544,80
703,749,10
703,772,66
703,945,20
703,986,12
703,1239,511
703,1253,18
703,1398,84
703,1407,20
703,1501,75
703,1502,101
703,1657,35
703,1761,11
703,1773,132
703,1926,61
703,2348,18
703,2700,58
703,2707,14
703,2710,51
706,10,10
706,14,8
706,50,43
706,52,141
706,96,45
706,97,9
706,214,7
706,505,376
706,626,16
706,790,8
706,871,22
706,1067,145
706,1147,15
706,1239,368
706,1279,1625
706,1281,148
706,1401,7
706,1502,7
706,1761,874
706,1764,401
706,1850,15
706,1926,692
706,1927,31
706,2166,158
706,2316,26
706,2319,7
706,2322,9
760,10,17
760,50,48
760,52,812
760,353,18
760,467,166
760,496,15
760,544,68
760,749,20
760,945,131
760,1239,15
760,1466,308
760,1470,14
760,1501,63
760,1502,170
760,1657,13
760,1714,17
760,1773,214
760,1774,18
760,1775,50
760,2226,11
760,2263,13
760,2340,100
760,2700,15
771,14,28
771,52,16
771,190,117
771,191,23
771,526,3099
771,565,96
771,566,10
771,790,17
771,1090,11
771,1239,14
771,1571,42
771,1572,59
771,1721,16
771,1761,33
771,1763,16
771,1764,484
771,1880,56
771,1884,751
771,1934,33
771,1935,104
771,2037,35
771,2337,37
771,2378,10
771,2399,50
771,2433,20
771,2597,27
816,14,118
816,52,1915
816,53,81
816,90,38
816,223,152
816,526,3308
816,544,86
816,618,108
816,634,23
816,636,305
816,689,47
816,819,27
816,867,56
816,945,124
816,1239,986
816,1368,22
816,1501,32
816,1502,64
816,1572,39
816,1773,159
816,2025,262
816,2231,210
816,2232,37
816,2348,80
816,2483,39
816,2486,65
816,2707,23
816,2710,67
822,14,12
822,41,21
822,52,514
822,53,43
822,88,8
822,90,30
822,238,7
822,526,458
822,636,11
822,786,11
822,840,9
822,867,19
822,945,162
822,1239,717
822,1502,39
822,1507,10
822,1674,20
822,1697,19
822,1773,35
822,1880,8
822,1893,26
822,2231,51
822,2232,8
822,2348,33
822,2349,41
822,2375,14
822,2560,19
822,2692,19
823,14,113
823,41,14
823,52,883
823,53,60
823,75,11
823,88,17
823,90,56
823,92,10
823,526,905
823,636,18
823,840,11
823,945,318
823,1239,1202
823,1502,39
823,1773,67
823,1880,20
823,2025,11
823,2154,16
823,2231,67
823,2232,17
823,2348,62
823,2375,45
825,14,8
825,41,15
825,42,4
825,50,4
825,52,375
825,53,11
825,505,4
825,526,591
825,541,4
825,544,18
825,598,9
825,634,4
825,636,40
825,689,44
825,772,8
825,782,10
825,783,8
825,835,18
825,836,19
825,837,6
825,945,21
825,1269,7
825,1279,9
825,1281,4
825,1502,10
825,1657,4
825,1773,26
825,1926,9
825,2025,114
825,2231,50
825,2232,7
825,2344,4
825,2348,15
827,14,49
827,50,20
827,52,1044
827,53,23
827,441,14
827,512,18
827,526,4084
827,634,43
827,636,559
827,772,148
827,903,14
827,945,231
827,1068,18
827,1502,22
827,1709,37
827,1773,109
827,2105,14
827,2231,317
827,2232,41
827,2344,16
827,2348,114
827,2374,19
827,2375,310
827,2483,22
827,2486,31
827,2624,20
827,2692,15
830,14,128
830,50,67
830,52,2235
830,53,68
830,467,126
830,526,8398
830,544,27
830,634,105
830,636,1424
830,689,45
830,772,531
830,945,351
830,1007,44
830,1068,29
830,1279,46
830,1502,50
830,1701,25
830,1773,229
830,2025,88
830,2231,534
830,2232,74
830,2348,235
830,2483,41
830,2486,43
830,2639,37
840,14,17
840,30,14
840,158,11
840,171,80
840,366,122
840,467,9
840,526,54
840,527,15
840,529,9
840,790,13
840,828,49
840,1077,24
840,1239,10
840,1479,15
840,1740,56
840,1761,328
