book_id,tag_id,count
27,52,9954
27,53,1742
27,267,5440
27,441,6850
27,467,958
27,512,281
27,526,392
27,544,289
27,689,465
27,945,40813
27,1419,351
27,1437,1045
27,1622,718
27,1773,1154
27,1846,673
27,2413,547
27,2430,484
27,2451,552
27,2488,600
27,2683,386
27,2715,12716
27,2717,338
21,41,225
21,52,1171
21,267,1922
21,321,232
21,350,213
21,441,3892
21,467,242
21,512,296
21,526,575
21,689,447
21,945,4333
21,1419,342
21,1420,207
21,1437,1072
21,1773,1192
21,1846,688
21,2413,562
21,2430,473
21,2451,566
21,2488,613
21,2683,388
21,2715,865
21,2717,362
2,52,13239
2,53,2430
2,267,6571
2,441,11022
2,467,2348
2,526,494
2,544,397
2,689,657
2,945,51780
2,1054,394
2,1419,533
2,1437,1743
2,1622,1558
2,1773,1658
2,1846,923
2,2413,664
2,2430,608
2,2451,725
2,2488,667
2,2683,505
2,2715,14984
2,2717,472
18,52,10656
18,53,1982
18,267,5385
18,441,8441
18,467,1090
18,526,415
18,544,324
18,689,526
18,945,42948
18,1054,282
18,1419,431
18,1437,1233
18,1622,1099
18,1773,1292
18,1846,720
18,2413,584
18,2430,520
18,2451,589
18,2488,566
18,2527,484
18,2658,298
18,2683,423
18,2715,12856
18,2717,384
24,52,10249
24,53,1892
24,267,5482
24,441,7552
24,467,1289
24,512,293
24,526,393
24,544,301
24,689,493
24,746,602
24,945,38378
24,1054,274
24,1419,374
24,1437,1163
24,1622,868
24,1773,1269
24,1846,702
24,2413,568
24,2430,491
24,2451,565
24,2488,581
24,2683,400
24,2715,12979
24,2717,383
3275,41,2
3275,52,25
3275,53,7
3275,267,19
3275,353,3
3275,441,25
3275,467,7
3275,526,4
3275,544,4
3275,689,4
3275,746,3
3275,840,2
3275,945,129
3275,1067,2
3275,1225,2
3275,1279,3
3275,1308,1
3275,1622,3
3275,1773,5
3275,1846,5
3275,2025,2
3275,2413,5
3275,2430,8
3275,2451,5
3275,2488,4
3275,2683,6
3275,2700,1
3275,2715,34
3275,2717,3
3753,41,3
3753,52,84
3753,53,18
3753,267,37
3753,353,6
3753,441,65
3753,467,9
3753,544,3
3753,689,3
3753,746,4
3753,840,3
3753,945,292
3753,1054,4
3753,1419,4
3753,1437,6
3753,1773,8
3753,1846,5
3753,2413,4
3753,2451,8
3753,2488,9
3753,2683,8
3753,2715,86
3753,2717,4
54,14,174
54,50,741
54,52,7012
54,53,656
54,81,275
54,267,129
54,350,114
54,467,3427
54,505,1439
54,526,23231
54,544,127
54,945,3551
54,1067,833
54,1279,4582
54,1281,1439
54,1502,224
54,1657,115
54,1773,741
54,2166,240
54,2231,754
54,2337,289
54,2348,202
54,2715,307
337,14,58
337,50,119
337,52,2006
337,53,141
337,81,53
337,126,28
337,467,647
337,505,370
337,526,5815
337,544,36
337,945,933
337,1067,178
337,1279,1275
337,1281,293
337,1502,77
337,1773,189
337,1880,23
337,2166,62
337,2231,192
337,2232,39
337,2337,101
337,2348,66
337,2527,35
337,2715,51
374,10,38
374,14,125
374,50,61
374,52,53
374,129,48
374,190,71
374,430,35
374,457,36
374,526,1150
374,565,36
374,790,106
374,871,54
374,883,68
374,1067,59
374,1090,46
374,1098,47
374,1239,3367
374,1279,340
374,1281,121
374,1479,31
374,1720,59
374,1721,72
374,1761,1153
374,1763,41
374,1764,1845
374,1880,137
374,1884,186
374,1934,37
374,1935,192
374,2337,30
374,2528,73
374,2700,45
1460,14,25
1460,50,61
1460,52,30
1460,53,108
1460,121,18
1460,214,113
1460,285,11
1460,505,43
1460,544,15
1460,626,21
1460,871,18
1460,1067,78
1460,1090,15
1460,1239,114
1460,1279,593
1460,1281,174
1460,1592,385
1460,1721,31
1460,1761,1981
1460,1763,12
1460,1764,702
1460,1794,15
1460,2528,2618
1976,14,24
1976,50,53
1976,52,29
1976,53,14
1976,97,11
1976,214,267
1976,505,58
1976,526,20
1976,544,17
1976,626,31
1976,871,166
1976,1067,81
1976,1239,45
1976,1279,625
1976,1281,67
1976,1501,18
1976,1592,495
1976,1761,144
1976,1764,540
1976,2263,32
1976,2528,229
1976,2538,18
1976,2705,22
2321,14,20
2321,50,24
2321,52,22
2321,53,24
2321,97,26
2321,214,102
2321,285,9
2321,505,38
2321,544,16
2321,626,16
2321,871,40
2321,920,10
2321,1067,48
2321,1090,10
2321,1239,21
2321,1279,372
2321,1281,126
2321,1401,8
2321,1592,267
2321,1714,9
2321,1761,1112
2321,1764,390
2321,2114,23
2321,2528,1742
2321,2705,8
2279,14,15
2279,50,22
2279,52,16
2279,53,24
2279,214,112
2279,285,9
2279,505,40
2279,544,12
2279,626,10
2279,871,45
2279,1067,50
2279,1239,32
2279,1279,339
2279,1281,163
2279,1592,253
2279,1761,1128
2279,1764,362
2279,2528,2099
1449,14,43
1449,50,34
1449,52,48
1449,53,27
1449,214,210
1449,285,19
1449,505,66
1449,544,32
1449,626,31
1449,871,63
1449,1067,90
1449,1090,18
1449,1239,51
1449,1279,535
1449,1281,305
1449,1592,432
1449,1761,2019
1449,1763,15
1449,1764,653
1449,2528,2441
1449,2705,13
4079,14,7
4079,50,26
4079,52,15
4079,129,13
4079,505,9
4079,544,12
4079,626,17
4079,627,8
4079,790,16
4079,1067,26
4079,1090,10
4079,1239,186
4079,1279,170
4079,1281,13
4079,1463,7
4079,1498,46
4079,1502,12
4079,1761,410
4079,1763,10
4079,1764,167
4079,1821,13
4079,2316,19
4079,2322,7
4079,2705,18
964,41,16
964,50,32
964,52,329
964,53,92
964,223,12
964,267,15
964,350,10
964,441,21
964,467,186
964,526,88
964,746,9
964,806,7
964,840,107
964,945,153
964,1225,45
964,1701,15
964,1773,17
964,2231,9
964,2430,9
964,2488,7
964,2715,50
964,2717,7
189,14,79
189,50,208
189,52,3827
189,53,597
189,223,56
189,267,68
189,350,78
189,467,4795
189,526,514
189,829,65
189,840,610
189,945,14068
189,1225,324
189,1502,353
189,1657,56
189,1701,58
189,1773,420
189,2231,68
189,2348,62
189,2715,278
19,14,174
19,50,749
19,52,7371
19,53,1555
19,223,114
19,267,178
19,350,152
19,467,9842
19,526,671
19,806,155
19,840,1491
19,945,32737
19,1225,974
19,1502,553
19,1657,128
19,1773,879
19,2231,134
19,2348,119
19,2715,654
4229,50,4
4229,52,15
4229,171,36
4229,223,4
4229,267,2
4229,526,3
4229,626,1
4229,945,106
4229,1225,2
4229,1761,28
4229,1764,7
388,41,141
388,52,1587
388,53,934
388,267,927
388,424,81
388,441,2147
388,467,900
388,512,131
388,544,114
388,729,37
388,801,42
388,1419,156
388,1420,102
388,1432,42
388,1437,423
388,1622,377
388,1721,57
388,1744,183
388,1773,156
388,2059,587
388,2440,642
388,2488,142
388,2578,37
388,2674,84
388,2715,2198
388,2717,123
3504,8,17
3504,10,13
3504,14,49
3504,50,54
3504,52,241
3504,58,181
3504,96,76
3504,467,13
3504,544,52
3504,1239,870
3504,1501,90
3504,1502,76
3504,1773,105
3504,2044,32
3504,2299,98
3504,2335,83
639,8,72
639,52,858
639,53,43
639,267,109
639,424,20
639,441,3359
639,467,3518
639,512,24
639,934,48
639,1054,27
639,1101,53
639,1239,329
639,1419,89
639,1420,44
639,1432,31
639,1437,352
639,1502,54
639,1622,95
639,1773,92
639,2059,32
639,2715,353
639,2717,71
7683,14,8
7683,48,3
7683,50,15
7683,226,23
7683,441,14
7683,790,10
7683,934,27
7683,1340,5
7683,1352,3
7683,1437,10
7683,1584,3
7683,1761,65
7683,1764,118
7683,1961,40
7683,2209,14
2817,50,17
2817,52,452
2817,53,24
2817,96,7
2817,457,19
2817,467,91
2817,526,2753
2817,840,14
2817,945,227
2817,1007,17
2817,1068,6
2817,1307,11
2817,1502,15
2817,1773,41
2817,1880,7
2817,1926,14
2817,2231,172
2817,2232,8
2817,2337,78
2817,2348,25
1105,14,23
1105,50,38
1105,52,1106
1105,53,28
1105,96,15
1105,457,42
1105,467,246
1105,526,1401
1105,606,18
1105,840,46
1105,945,652
1105,1007,50
1105,1068,13
1105,1307,26
1105,1502,40
1105,1773,122
1105,1880,25
1105,1926,28
1105,1992,19
1105,2231,346
1105,2232,16
1105,2337,177
1105,2348,69
1105,2455,16
1262,14,16
1262,50,30
1262,52,908
1262,53,24
1262,96,12
1262,457,34
1262,467,175
1262,526,5583
1262,606,18
1262,840,41
1262,945,517
1262,1007,29
1262,1307,24
1262,1502,28
1262,1773,90
1262,1880,25
1262,1926,26
1262,1992,18
1262,2231,311
1262,2232,13
1262,2337,140
1262,2348,60
1262,2455,15
2491,14,10
2491,50,15
2491,52,516
2491,53,18
2491,96,8
2491,457,20
2491,467,92
2491,526,3102
2491,840,16
2491,945,253
2491,1007,22
2491,1307,9
2491,1502,16
2491,1773,49
2491,1880,15
2491,1898,8
2491,1926,10
2491,2118,8
2491,2231,198
2491,2232,10
2491,2337,90
2491,2348,30
3230,50,2
3230,52,10
3230,171,91
3230,267,1
3230,467,5
3230,526,3
3230,945,91
3230,1095,2
3230,1761,34
3230,1764,11
3230,1773,2
3230,1887,1
3230,2454,1
1597,14,19
1597,50,68
1597,52,1102
1597,53,17
1597,58,18
1597,135,32
1597,223,20
1597,267,27
1597,280,13
1597,336,21
1597,467,156
1597,512,86
1597,544,60
1597,626,13
1597,749,37
1597,1225,19
1597,1239,570
1597,1350,21
1597,1501,18
1597,1502,46
1597,1592,12
1597,1657,14
1597,1761,18
1597,1773,90
1597,2044,13
1597,2046,17
1597,2059,11
1597,2357,20
1597,2710,13
1597,2715,62
4081,10,11
4081,14,21
4081,29,7
4081,50,26
4081,52,545
4081,96,22
4081,97,9
4081,267,5
4081,280,6
4081,494,14
4081,512,33
4081,544,99
4081,749,9
4081,790,4
4081,1501,39
4081,1502,32
4081,1657,15
4081,1773,67
4081,1935,6
4081,2059,8
4081,2081,5
4081,2166,7
4081,2223,5
4081,2316,4
4081,2335,5
4081,2692,6
4081,2715,16
1999,14,15
1999,50,31
1999,52,271
1999,96,64
1999,97,14
1999,214,18
1999,233,17
1999,467,302
1999,544,21
1999,749,12
1999,852,38
1999,857,24
1999,1501,50
1999,1502,42
1999,1513,12
1999,1592,26
1999,1657,23
1999,1714,16
1999,1761,24
1999,1773,55
1999,2397,14
6787,9,8
6787,14,10
6787,50,13
6787,52,368
6787,96,58
6787,97,9
6787,214,6
6787,233,26
6787,467,196
6787,544,11
6787,749,6
6787,829,5
6787,852,13
6787,853,26
6787,857,20
6787,1501,18
6787,1502,82
6787,1513,5
6787,1592,6
6787,1657,31
6787,1714,10
6787,1761,10
6787,1773,64
6787,1774,6
6787,1992,7
6787,2223,7
6787,2226,9
1783,2,27
1783,8,204
1783,14,39
1783,50,60
1783,52,1053
1783,96,221
1783,350,22
1783,467,3227
1783,829,27
1783,1239,160
1783,1501,70
1783,1502,226
1783,1756,15
1783,1773,190
1783,2057,17
1783,2624,58
4602,50,39
4602,52,656
4602,214,20
4602,353,25
4602,467,307
4602,497,11
4602,512,21
4602,544,34
4602,749,13
4602,853,68
4602,878,15
4602,1051,528
4602,1239,107
4602,1501,38
4602,1502,98
4602,1592,59
4602,1657,17
4602,1761,22
4602,1771,12
4602,1773,145
4602,1775,54
4602,2125,18
4602,2226,16
4602,2263,24
4602,2692,59
7242,145,30
7242,148,24
7242,353,3
7242,467,41
7242,749,6
7242,870,25
7242,945,4
7242,1007,3
7242,1350,3
7242,1502,38
7242,1761,8
7242,1773,50
7242,1880,32
7242,1910,3
7242,1913,63
7242,2130,2
7242,2163,6
293,8,241
293,41,181
293,52,3299
293,53,1935
293,267,187
293,350,101
293,441,2135
293,467,10840
293,829,76
293,945,412
293,1239,1034
293,1419,75
293,1437,247
293,1501,50
293,1502,512
293,1622,73
293,1724,53
293,1773,437
293,1893,481
293,2025,47
293,2188,56
293,2624,65
293,2715,769
293,2717,57
5915,2,13
5915,8,137
5915,14,7
5915,50,20
5915,52,349
5915,349,20
5915,350,67
5915,467,1017
5915,829,35
5915,1007,9
5915,1239,75
5915,1398,32
5915,1407,12
5915,1501,15
5915,1502,63
5915,1756,8
5915,1773,63
5915,2624,134
5915,2625,9
5915,2692,21
94,14,376
94,50,364
94,52,262
94,467,6717
94,544,303
94,749,106
94,934,80
94,945,450
94,1239,153
94,1466,1145
94,1501,484
94,1502,1174
94,1773,1407
94,2340,594
94,2700,104
397,14,51
397,50,239
397,52,2637
397,467,1517
397,544,232
397,598,559
397,648,90
397,689,554
397,749,110
397,878,41
397,945,470
397,1051,80
397,1101,782
397,1145,134
397,1239,2053
397,1269,888
397,1501,150
397,1502,303
397,1657,60
397,1688,102
397,1773,561
397,1774,41
397,1865,44
397,2025,649
397,2125,61
6123,2,4
6123,52,209
6123,53,18
6123,267,5
6123,457,14
6123,467,66
6123,526,1425
6123,945,46
6123,1419,5
6123,1773,23
6123,1806,6
6123,2118,7
6123,2231,135
6123,2232,8
6123,2337,7
6123,2348,18
6123,2527,163
6123,2528,12
6123,2715,6
371,14,113
371,50,102
371,52,2117
371,81,66
371,96,28
371,467,1278
371,526,9484
371,772,66
371,945,460
371,1007,118
371,1502,87
371,1558,34
371,1773,218
371,1880,136
371,2231,504
371,2232,58
371,2348,135
4034,14,16
4034,52,260
4034,53,10
4034,267,5
4034,467,67
4034,526,1697
4034,945,68
4034,1068,5
4034,1190,6
4034,1311,5
4034,1502,5
4034,1510,4
4034,1773,30
4034,2231,137
4034,2232,15
4034,2337,18
4034,2348,31
4034,2527,56
7904,14,3
7904,52,248
7904,53,18
7904,90,8
7904,467,15
7904,505,18
7904,526,941
7904,945,221
7904,1007,45
7904,1279,45
7904,1281,6
7904,1507,11
7904,1657,3
7904,1773,26
7904,1806,4
7904,1880,4
7904,1942,3
7904,2166,16
7904,2231,78
7904,2232,8
7904,2337,4
7904,2344,3
7904,2348,26
7904,2413,6
7904,2527,3
1727,50,40
1727,52,1088
1727,53,22
1727,350,20
1727,467,26
1727,505,249
1727,526,1989
1727,544,22
1727,598,44
1727,689,470
1727,945,1030
1727,1067,113
1727,1279,251
1727,1281,348
1727,1502,26
1727,1701,38
1727,1773,101
1727,2166,30
1727,2231,112
1727,2232,20
1727,2348,44
1727,2413,56
1727,2430,19
5072,50,16
5072,52,163
5072,53,10
5072,126,19
5072,214,30
5072,350,8
5072,467,7
5072,505,113
5072,526,1098
5072,689,36
5072,871,76
5072,945,205
5072,1007,7
5072,1067,49
5072,1279,82
5072,1281,172
5072,1502,11
5072,1761,160
5072,1764,49
5072,1773,30
5072,1880,9
5072,2166,11
5072,2231,52
5072,2232,6
5072,2263,98
5072,2348,8
1332,50,82
1332,52,1343
1332,53,105
1332,81,57
1332,350,31
1332,467,150
1332,505,381
1332,526,5040
1332,945,553
1332,1067,151
1332,1279,1201
1332,1281,468
1332,1502,23
1332,1773,152
1332,2166,48
1332,2231,186
1332,2232,18
1332,2337,86
1332,2348,42
1332,2527,22
1332,2715,23
1042,14,23
1042,50,65
1042,52,452
1042,53,32
1042,350,24
1042,467,37
1042,505,96
1042,526,1347
1042,544,22
1042,598,93
1042,689,309
1042,945,369
1042,1067,158
1042,1105,24
1042,1279,356
1042,1281,118
1042,1502,27
1042,1773,135
1042,1846,21
1042,2166,41
1042,2231,187
1042,2232,28
1042,2348,63
1042,2413,59
1042,2527,60
1042,2528,24
561,52,1777
561,53,315
561,267,496
561,424,61
561,441,4619
561,467,1659
561,505,39
561,526,132
561,945,2920
561,1067,83
561,1279,295
561,1281,41
561,1419,214
561,1420,124
561,1432,97
561,1437,790
561,1502,94
561,1622,386
561,1773,107
561,2715,1042
561,2717,138
9759,14,10
9759,44,8
9759,50,5
9759,52,56
9759,77,3
9759,214,86
9759,285,7
9759,505,3
9759,544,6
9759,592,5
9759,754,3
9759,934,8
9759,1279,4
9759,1502,7
9759,1592,385
9759,1598,16
9759,1761,182
9759,1764,99
9759,1773,6
9759,1913,18
9232,14,10
9232,52,407
9232,96,50
9232,97,16
9232,182,6
9232,214,5
9232,467,18
9232,541,8
9232,544,54
9232,598,11
9232,867,5
9232,1239,170
9232,1487,4
9232,1501,40
9232,1502,57
9232,1657,13
9232,1761,5
9232,1773,87
9232,1926,31
9232,1942,18
9232,1947,37
9232,2025,5
9232,2607,4
3581,14,109
3581,52,378
3581,96,119
3581,223,115
3581,467,79
3581,526,428
3581,544,89
3581,945,20
3581,1239,248
3581,1279,20
3581,1501,74
3581,1502,61
3581,1657,73
3581,1773,213
3581,1880,16
3581,1942,43
3581,1947,165
3581,2166,16
3581,2231,17
3581,2707,25
3581,2710,17
5146,14,13
5146,50,10
5146,52,73
5146,96,36
5146,97,19
5146,214,58
5146,467,115
5146,544,11
5146,571,9
5146,592,36
5146,626,21
5146,627,9
5146,871,261
5146,966,10
5146,1239,105
5146,1401,69
5146,1501,19
5146,1592,172
5146,1743,14
5146,1761,246
5146,1764,482
5146,1880,10
5146,1926,38
5146,2263,117
5146,2322,13
5146,2528,11
5146,2692,49
5146,2705,23
5315,14,11
5315,50,53
5315,52,16
5315,96,56
5315,97,13
5315,467,137
5315,544,70
5315,871,7
5315,966,36
5315,969,7
5315,1239,12
5315,1501,51
5315,1502,52
5315,1592,7
5315,1657,6
5315,1761,8
5315,1773,94
5315,2692,36
2337,14,40
2337,50,32
2337,52,1104
2337,96,142
2337,97,27
2337,467,86
2337,544,201
2337,598,89
2337,689,361
2337,905,14
2337,945,15
2337,1501,100
2337,1502,169
2337,1657,34
2337,1714,22
2337,1760,24
2337,1773,223
2337,1774,18
2337,1942,20
2337,1947,75
2337,2025,32
2337,2125,14
2337,2263,88
8588,50,14
8588,52,269
8588,96,41
8588,467,28
8588,507,4
8588,544,49
8588,598,39
8588,689,154
8588,1149,8
8588,1501,30
8588,1502,44
8588,1657,4
8588,1714,4
8588,1760,4
8588,1773,49
8588,1774,7
8588,1880,6
8588,1942,9
8588,1947,25
8588,2025,4
8588,2125,8
8588,2263,6
5150,10,15
5150,14,7
5150,50,12
5150,52,412
5150,96,50
5150,97,6
5150,467,4
5150,544,94
5150,749,10
5150,934,11
5150,1279,5
5150,1487,8
5150,1501,35
5150,1502,51
5150,1657,15
5150,1714,14
5150,1773,81
5150,1774,11
5150,1947,5
5150,2059,4
5150,2125,17
6844,50,6
6844,52,284
6844,96,20
6844,544,18
6844,749,8
6844,982,4
6844,1404,3
6844,1501,17
6844,1502,50
6844,1657,12
6844,1714,4
6844,1773,73
6844,1774,9
6844,1947,11
6844,2125,17
9905,9,3
9905,14,4
9905,50,7
9905,52,272
9905,53,3
9905,96,25
9905,97,4
9905,119,5
9905,121,34
9905,262,3
9905,467,5
9905,544,64
9905,749,4
9905,1501,20
9905,1502,35
9905,1657,9
9905,1714,4
9905,1773,54
9905,1774,6
9905,1775,4
9905,1880,4
9905,2125,10
7462,9,3
7462,50,4
7462,52,261
7462,96,32
7462,97,6
7462,544,45
7462,598,7
7462,689,14
7462,749,4
7462,982,4
7462,1054,3
7462,1501,30
7462,1502,46
7462,1657,18
7462,1714,4
7462,1773,59
7462,1774,10
7462,1880,4
7462,1947,7
7462,1992,3
7462,2025,5
7462,2081,2
7462,2125,11
1969,14,10
1969,30,20
1969,128,14
1969,129,134
1969,154,26
1969,366,26
1969,457,11
1969,463,32
1969,471,10
1969,493,15
1969,526,222
1969,626,22
1969,783,14
1969,786,49
1969,790,9
1969,835,90
1969,836,39
1969,871,19
1969,1090,46
1969,1239,659
1969,1720,12
1969,1721,47
1969,1740,11
1969,1761,594
1969,1764,230
1969,1821,10
1969,1880,16
1969,1926,94
1969,1934,15
1969,2316,74
1969,2319,19
1969,2322,65
1969,2700,28
3598,14,4
3598,50,15
3598,52,32
3598,212,4
3598,214,62
3598,285,3
3598,505,10
3598,544,14
3598,606,5
3598,626,20
3598,627,5
3598,658,5
3598,754,4
3598,871,72
3598,1067,9
3598,1239,7
3598,1279,89
3598,1281,9
3598,1401,15
3598,1592,180
3598,1657,5
3598,1761,416
3598,1763,5
3598,1764,163
3598,1934,6
3598,2119,4
3598,2316,5
3598,2322,6
3598,2528,40
1392,14,36
1392,50,38
1392,52,45
1392,214,16
1392,505,58
1392,526,8
1392,544,38
1392,606,14
1392,626,111
1392,627,27
1392,871,502
1392,1067,45
1392,1225,9
1392,1239,18
1392,1279,347
1392,1281,42
1392,1401,22
1392,1592,109
1392,1740,12
1392,1761,1229
1392,1763,13
1392,1764,544
1392,1880,29
1392,1934,23
1392,2223,10
1392,2263,19
1392,2316,35
1392,2319,11
1392,2322,67
1392,2357,16
8934,366,86
8934,786,11
8934,834,2
8934,999,153
8934,1350,2
8934,1675,3
8934,1740,2
8934,1761,115
8934,1764,49
8934,1872,24
8934,2209,59
546,14,230
546,50,38
546,52,1374
546,53,45
546,96,48
546,214,180
546,358,144
546,366,33
546,467,611
546,544,47
546,777,26
546,870,470
546,871,38
546,934,27
546,1007,228
546,1350,39
546,1501,25
546,1502,181
546,1592,222
546,1657,27
546,1740,195
546,1761,1196
546,1764,441
546,1773,182
546,1872,36
546,1880,3049
546,2081,27
546,2209,197
546,2528,297
5120,14,19
5120,30,10
5120,42,30
5120,52,8
5120,54,16
5120,131,9
5120,366,127
5120,388,27
5120,526,10
5120,542,35
5120,544,10
5120,626,63
5120,627,16
5120,786,209
5120,790,6
5120,871,24
5120,1090,9
5120,1239,52
5120,1401,20
5120,1740,8
5120,1761,973
5120,1763,8
5120,1764,238
5120,1880,41
5120,1926,479
5120,1927,31
5120,1932,8
5120,2155,8
5120,2316,68
5120,2319,50
5120,2322,122
498,2,49
498,8,288
498,14,115
498,50,140
498,52,3227
498,223,470
498,467,9194
498,749,63
498,840,76
498,1239,2146
498,1501,170
498,1502,811
498,1773,558
498,1880,135
498,1926,56
498,2149,2185
255,14,251
255,50,173
255,52,4401
255,96,105
255,366,114
255,388,111
255,467,3917
255,526,509
255,544,75
255,689,45
255,749,48
255,772,551
255,786,198
255,945,64
255,1239,37
255,1501,160
255,1502,522
255,1657,149
255,1761,43
255,1773,420
255,1788,149
255,1880,1790
255,1926,595
255,2316,49
8688,14,5
8688,52,41
8688,366,6
8688,388,9
8688,467,25
8688,544,17
8688,786,12
8688,793,19
8688,844,18
8688,871,24
8688,873,37
8688,1090,5
8688,1239,21
8688,1493,7
8688,1501,17
8688,1502,12
8688,1657,20
8688,1669,17
8688,1740,37
8688,1761,206
8688,1763,5
8688,1764,71
8688,1788,38
8688,1880,548
8688,1926,79
8688,1927,10
8688,2149,7
8688,2209,10
8688,2322,7
8688,2640,3
903,50,134
903,52,1934
903,96,52
903,467,834
903,526,984
903,544,23
903,721,26
903,722,23
903,772,1466
903,945,104
903,1225,73
903,1501,65
903,1502,240
903,1657,24
903,1773,183
903,1775,41
903,1788,54
903,1880,750
903,1926,211
903,1942,31
903,2149,25
903,2231,36
903,2263,32
903,2316,33
903,2348,37
903,2609,34
903,2715,57
4298,2,10
4298,50,22
4298,52,32
4298,96,8
4298,214,5
4298,223,6
4298,388,5
4298,467,354
4298,516,21
4298,526,16
4298,544,9
4298,749,9
4298,772,47
4298,786,6
4298,1225,5
4298,1239,144
4298,1329,6
4298,1493,6
4298,1501,22
4298,1502,87
4298,1657,7
4298,1761,12
4298,1773,64
4298,1788,31
4298,1880,242
4298,1926,81
4298,1927,5
4298,2132,5
